Code CAIRN,Titre,Sous-titre,Editeur,Disciplines,URL
MEDI,Méditerranée,,Presses universitaires de Provence,Géographie,https://shs.cairn.info/revue-mediterranee?lang=fr
MEDIU,Médium,Transmettre pour innover,Association Médium,"Info, Communication; Intérêt général",https://shs.cairn.info/revue-medium?lang=fr
MEDIE,Médiévales,,Presses universitaires de Vincennes,Histoire,https://shs.cairn.info/revue-medievales?lang=fr
MEM,Mémoires,,Centre Primo Levi,Psychologie,https://shs.cairn.info/revue-memoires?lang=fr
NAPO,Napoleonica. La Revue,Revue internationale d'histoire des deux Empires napoléoniens,Fondation Napoléon,Histoire,https://shs.cairn.info/revue-napoleonica-la-revue?lang=fr
NAQD,NAQD,Revue d'Etudes et de Critique Sociale,NAQD,Intérêt général; Sociologie,https://shs.cairn.info/revue-naqd?lang=fr
NSS,Natures Sciences Sociétés,,EDP Sciences,Économie; Géographie; Sociologie,https://stm.cairn.info/revue-natures-sciences-societes?lang=fr
NECT,NECTART,,Éditions de l'Attribut,Arts; Intérêt général,https://shs.cairn.info/revue-nectart?lang=fr
NOMOP,Nomopolis,,Centre Jean Bodin,Science politique,https://droit.cairn.info/nomopolis?lang=fr
NORD,Nord',Revue de critique littéraire des Hauts-de-France,Société de Littératures de Langue Française,Littérature,https://shs.cairn.info/revue-nord?lang=fr
NOR,Norois,Environnement - Aménagement - Société,Presses universitaires de Rennes,Géographie; Sociologie,https://shs.cairn.info/revue-norois?lang=fr
NCAE,Notes du conseil d'analyse économique,,Conseil d'analyse économique,Économie,https://shs.cairn.info/revue-notes-du-conseil-d-analyse-economique?lang=fr
NRE,Nouvelle revue d'esthétique,,Presses Universitaires de France,Arts; Philosophie,https://shs.cairn.info/revue-nouvelle-revue-d-esthetique?lang=fr
NREA,Nouvelle Revue de l'Enfance et de l'Adolescence,,L'Harmattan,Psychologie,https://shs.cairn.info/revue-nouvelle-revue-de-l-enfance-et-de-l-adolescence?lang=fr
NRP,Nouvelle revue de psychosociologie,,érès,Psychologie,https://shs.cairn.info/revue-nouvelle-revue-de-psychosociologie?lang=fr
NRT,Nouvelle revue théologique,,Nouvelle revue théologique ASBL,Religions et spiritualité,https://shs.cairn.info/revue-nouvelle-revue-theologique?lang=fr
NF,Nouvelles FondationS,,Fondation Gabriel Péri,Philosophie; Science politique,https://shs.cairn.info/revue-nouvelles-fondations?lang=fr
NQF,Nouvelles Questions Féministes,,Éditions Antipodes,Sociologie,https://shs.cairn.info/revue-nouvelles-questions-feministes?lang=fr
NEG,Négociations,"Conflit, décision et délibération",De Boeck Supérieur,Gestion; Science politique,https://shs.cairn.info/revue-negociations?lang=fr
ORA,Orages,Littérature et culture 1760-1830,Revue Orages,Histoire; Littérature,https://shs.cairn.info/revue-orages?lang=fr
OTRA,Otrante,,Presses universitaires de Rennes,Littérature,https://shs.cairn.info/revue-otrante?lang=fr
OM,Outre-Mers,Revue d'histoire coloniale et impériale,Société Française d'Histoire d'Outre-Mer,Histoire,https://shs.cairn.info/revue-outre-mers?lang=fr
OUTE2,Outre-Terre,Revue européenne de géopolitique,Ghazipur,Géographie; Science politique,https://shs.cairn.info/revue-outre-terre?lang=fr
PAN,PANARD,,Éditions de l'Attribut,Sport et société,https://shs.cairn.info/revue-panard?lang=fr
PARDE,Pardès,Études et culture juives,In Press,Histoire; Religions et spiritualité,https://shs.cairn.info/revue-pardes?lang=fr
PARL2,"Parlement[s], Revue d'histoire politique",,Presses universitaires de Rennes,Histoire; Science politique,https://shs.cairn.info/revue-parlements?lang=fr
PARTA,Partances,,Association Vacances ouvertes,Sciences de l'éducation; Sociologie; Sport et société; Travail social,https://shs.cairn.info/revue-partances?lang=fr
PARTI,Participations,Revue de sciences sociales sur la démocratie et la citoyenneté,Institut de sciences politiques,Science politique,https://shs.cairn.info/revue-participations?lang=fr
PES,Paysans & société,,Revue Paysans et Société,Géographie; Sociologie,https://shs.cairn.info/revue-paysan-et-societe?lang=fr
PCM,PCM – Pour Construire un Monde durable,ex Ponts et Chaussées Magazine,"Union des Ingénieurs des Ponts, des Eaux et des Forêts",Science politique,https://stm.cairn.info/revue-pcm-pour-construire-un-monde-durable?lang=fr
PP,Pensée plurielle,"Parole, pratiques et réflexions du social",De Boeck Supérieur,Sociologie; Travail social,https://shs.cairn.info/revue-pensee-plurielle?lang=fr
PPSY,Perspectives Psy,,EDP Sciences,Psychologie,https://shs.cairn.info/revue-perspectives-psy?lang=fr
PERS,Perspectives économiques de l'OCDE,,Éditions de l'OCDE,Économie,https://shs.cairn.info/revue-perspectives-economiques-de-l-ocde?lang=fr
SCIE,Philosophia Scientiæ,Travaux d'histoire et de philosophie des sciences,Université de Nancy 2,Philosophie,https://shs.cairn.info/revue-philosophia-scientiae?lang=fr
PHILO,Philosophie,,Éditions de Minuit,Philosophie,https://shs.cairn.info/revue-philosophie?lang=fr
PHRON,Phronesis,,Revue Phronesis,Sciences de l'éducation,https://shs.cairn.info/revue-phronesis?lang=fr
PINC,Pin Code,Revue internationale de la propriété intellectuelle et du droit du numérique,Dalloz,"Info, Communication",https://droit.cairn.info/revue-pincode?lang=fr
PLD,Plein droit,La revue du GISTI,GISTI,Sociologie; Travail social,https://droit.cairn.info/revue-plein-droit?lang=fr
POESI,Po&sie,,Belin,Littérature,https://shs.cairn.info/revue-poesie?lang=fr
POLAF,Politique africaine,,Karthala,Science politique,https://shs.cairn.info/revue-politique-africaine?lang=fr
POLAM,Politique américaine,,L'Harmattan,Science politique,https://shs.cairn.info/revue-politique-americaine?lang=fr
POEU,Politique européenne,,Association Politique européenne,Science politique,https://shs.cairn.info/revue-politique-europeenne?lang=fr
PE,Politique étrangère,,Institut français des relations internationales,Science politique,https://shs.cairn.info/revue-politique-etrangere?lang=fr
PMP,Politiques & management public,,JLE,Gestion; Science politique,https://shs.cairn.info/revue-politiques-et-management-public?lang=fr
PDC,Politiques de communication,,Presses universitaires de Grenoble,"Info, Communication; Science politique; Sociologie",https://shs.cairn.info/revue-politiques-de-communication?lang=fr
POL,Politiques et gestion de l'enseignement supérieur,,Éditions de l'OCDE,Économie; Gestion; Science politique; Sciences de l'éducation,https://shs.cairn.info/revue-politiques-et-gestion-de-l-enseignement-superieur?lang=fr
POX,Politix,Revue des sciences sociales du politique,De Boeck Supérieur,Science politique; Sociologie,https://shs.cairn.info/revue-politix?lang=fr
POPU,Population,,Ined Éditions,Géographie; Santé publique; Sociologie,https://shs.cairn.info/revue-population?lang=fr
POPAV,Population & Avenir,,Association Population & Avenir,Géographie; Science politique; Sociologie,https://shs.cairn.info/revue-population-et-avenir?lang=fr
POPSOC,Population & Sociétés,,Ined Éditions,Géographie; Sociologie,https://shs.cairn.info/revue-population-et-societes?lang=fr
POUR,Pour,"La revue du Groupe Ruralités, Éducation et Politiques",GREP,Économie; Géographie; Sociologie,https://shs.cairn.info/revue-pour?lang=fr
POUV,Pouvoirs,Revue française d'études constitutionnelles et politiques,Le Seuil,Science politique,https://droit.cairn.info/revue-pouvoirs?lang=fr
POETI,Poétique,,Le Seuil,Littérature,https://shs.cairn.info/revue-poetique?lang=fr
PSM,Pratiques en santé mentale,,Champ social,Psychologie; Santé publique,https://shs.cairn.info/revue-pratique-en-sante-mentale?lang=fr
POS,Pratiques et Organisation des Soins,,CNAMTS,Santé publique,https://stm.cairn.info/revue-pratiques-et-organisation-des-soins?lang=fr
PRAT,"Pratiques, les cahiers de la médecine utopique",,Revue pratiques,Santé publique; Travail social,https://stm.cairn.info/revue-pratiques?lang=fr
PRISM,Prismes,Théorie critique,Éditions Kimé,Philosophie,https://shs.cairn.info/revue-prismes?lang=fr
POC,Proche-Orient Chrétien,Revue œcuménique d'études et d'informations,Université Saint-Joseph,Religions et spiritualité,https://shs.cairn.info/revue-proche-orient-chretien?lang=fr
PROJ,Projectics / Proyéctica / Projectique,,De Boeck Supérieur,Gestion,https://shs.cairn.info/revue-projectique?lang=fr
PROP,Propos,,Institut Cité Écologique,Intérêt général; Science politique,https://shs.cairn.info/revue-propos?lang=fr
PSTRAT,Prospective et stratégie,,APORS Éditions,Science politique,https://shs.cairn.info/revue-prospective-et-strategie?lang=fr
PRESA,Présence Africaine,,Éditions Présence Africaine,Histoire; Littérature,https://shs.cairn.info/revue-presence-africaine?lang=fr
PH,Présence haptonomique,"Dans la science, les arts et la culture",CIRDH – France,Psychologie; Santé publique,https://shs.cairn.info/revue-presence-haptonomique?lang=fr
PSN,PSN,"Psychiatrie, Sciences humaines, Neurosciences",Éditions Matériologiques,Psychologie,https://shs.cairn.info/revue-psn?lang=fr
PSCA,Psy Cause,,Psy Cause International,Psychologie,https://shs.cairn.info/revue-psy-cause?lang=fr
PSYET,Psychanalyse YETU,,érès,Psychologie,https://shs.cairn.info/revue-psychanalyse-yetu?lang=fr
PCLI,Psychologie Clinique,,EDP Sciences,Psychologie,https://shs.cairn.info/revue-psychologie-clinique?lang=fr
PCP,Psychologie clinique et projective,,érès,Psychologie,https://shs.cairn.info/revue-psychologie-clinique-et-projective?lang=fr
PEP,Psychologues et Psychologies,,Syndicat National des Psychologues,Psychologie,https://shs.cairn.info/revue-psychologues-et-psychologies?lang=fr
PSYR,Psychosomatique relationnelle,,Centre international de psychosomatique,Psychologie,https://shs.cairn.info/revue-psychosomatique-relationnelle?lang=fr
PSYS,Psychothérapies,,Médecine & Hygiène,Psychologie,https://shs.cairn.info/revue-psychotherapies?lang=fr
PSYT,Psychotropes,Revue internationale des toxicomanies et des addictions,De Boeck Supérieur,Psychologie; Travail social,https://shs.cairn.info/revue-psychotropes?lang=fr
PMED,Pédagogie médicale,,EDP Sciences,Santé publique,https://stm.cairn.info/revue-pedagogie-medicale?lang=fr
PERNA,Périnatalité,,JLE,Santé publique,https://stm.cairn.info/revue-perinatalite?lang=fr
PSUD,Pôle Sud,Revue de science politique de l'Europe méridionale,CEPEL,Science politique,https://shs.cairn.info/revue-pole-sud?lang=fr
QUAD,Quaderni,"Communication, technologies, pouvoir",Éditions de la Maison des sciences de l'homme,"Info, Communication; Science politique",https://shs.cairn.info/revue-quaderni?lang=fr
QDM,Question(s) de management,,EMS Éditions,Gestion,https://shs.cairn.info/revue-questions-de-management?lang=fr
QDC,Questions de communication,,Éditions de l'Université de Lorraine,"Info, Communication; Science politique",https://shs.cairn.info/revue-questions-de-communication?lang=fr
RPRE,Raison présente,,Union rationaliste,Intérêt général,https://shs.cairn.info/revue-raison-presente?lang=fr
RPUB1,Raison publique,"Arts, politique et société",Éditions Raison publique,Philosophie,https://shs.cairn.info/revue-raison-publique?lang=fr
RAI,Raisons politiques,Études de pensée politique,Presses de Sciences Po,Science politique,https://shs.cairn.info/revue-raisons-politiques?lang=fr
RAISED,Raisons éducatives,,Université de Genève,Sciences de l'éducation,https://shs.cairn.info/revue-raisons-educatives?lang=fr
RSI,Recherche en soins infirmiers,,Association de Recherche en Soins Infirmiers,Santé publique,https://stm.cairn.info/revue-recherche-en-soins-infirmiers?lang=fr
RCSG,Recherche et Cas en Sciences de Gestion,,EMS Éditions,Gestion,https://shs.cairn.info/revue-recherche-et-cas-en-sciences-de-gestion?lang=fr
RECSOC,Recherche sociale,,FORS-Recherche Sociale,Sociologie,https://shs.cairn.info/revue-recherche-sociale?lang=fr
RSR,Recherches de Science Religieuse,,Facultés Loyola Paris,Religions et spiritualité,https://shs.cairn.info/revue-recherches-de-science-religieuse?lang=fr
RDID1,Recherches en didactiques,Les Cahiers Théodile,Université de Lille,Sciences de l'éducation,https://shs.cairn.info/revue-recherches-en-didactiques?lang=fr
REE,Recherches en Esthétique,,C.E.R.E.A.P.,Arts; Philosophie,https://shs.cairn.info/revue-recherches-en-esthetique?lang=fr
REP2,Recherches en psychanalyse,,"Laboratoire CRPMS, Université de Paris",Psychologie,https://shs.cairn.info/revue-recherches-en-psychanalyse?lang=fr
RESG,Recherches en Sciences de Gestion,Management Sciences - Ciencias de Gestión,ISEOR,Gestion,https://shs.cairn.info/revue-recherches-en-sciences-de-gestion?lang=fr
RF,Recherches familiales,,Union nationale des associations familiales,Sociologie,https://shs.cairn.info/revue-recherches-familiales?lang=fr
REIN,Recherches internationales,,Association Paul Langevin,Science politique,https://shs.cairn.info/revue-recherches-internationales?lang=fr
RDE,Recherches sur Diderot et sur l'Encyclopédie,,Société Diderot,Histoire,https://shs.cairn.info/revue-recherches-sur-diderot-et-sur-l-encyclopedie?lang=fr
REL,Recherches économiques de Louvain,Louvain economic review,De Boeck Supérieur,Économie,https://shs.cairn.info/revue-recherches-economiques-de-louvain?lang=fr
RECMA,RECMA,Revue internationale de l'économie sociale,Éditions Le Bord de l'eau,Économie; Science politique,https://shs.cairn.info/revue-recma?lang=fr
RED,RED,La Revue Européenne du Droit,Groupe d'études géopolitiques,Science politique,https://droit.cairn.info/revue-red?lang=fr
RPVE,Reflets et perspectives de la vie économique,,De Boeck Supérieur,Économie,https://shs.cairn.info/revue-reflets-et-perspectives-de-la-vie-economique?lang=fr
REGAR,Regards,Protection sociale,EN3S-École nationale supérieure de Sécurité sociale,Santé publique; Sociologie; Travail social,https://shs.cairn.info/revue-regards?lang=fr
RCE,Regards croisés sur l'économie,,La Découverte,Économie,https://shs.cairn.info/revue-regards-croises-sur-l-economie?lang=fr
REA,Regards sur l'économie allemande,Bulletin économique du CIRAC,CIRAC,Économie,https://shs.cairn.info/revue-regards-sur-l-economie-allemande?lang=fr
RI,Relations internationales,,Presses Universitaires de France,Histoire; Science politique,https://shs.cairn.info/revue-relations-internationales?lang=fr
RELI,Reliance,"Revue des situations de handicap, de l'éducation et des sociétés",érès,Psychologie; Sciences de l'éducation; Sociologie; Travail social,https://shs.cairn.info/revue-reliance?lang=fr
RS1,Retraite et société,,Caisse nationale d'assurance vieillesse,Sociologie; Travail social,https://shs.cairn.info/revue-retraite-et-societe?lang=fr
RAMAP,Revue africaine de management public,,AIRMAP,Gestion,https://droit.cairn.info/revue-africaine-de-management-public?lang=fr
RRASJAP,"Revue Africaine des Sciences Juridiques, Administratives et Politiques",,Revue Africaine des Sciences Juridiques,Science politique,https://droit.cairn.info/revue-africaine-des-sciences-juridiques-administratives-et-politiques?lang=fr
RASP,Revue Africaine des Sciences Sociales et de la Santé Publique,,Bamako Institut,Santé publique; Science politique,https://stm.cairn.info/revue-africaine-des-sciences-sociales-et-de-la-sante-publique?lang=fr
ARCH,Revue archéologique,,Presses Universitaires de France,Histoire,https://shs.cairn.info/revue-archeologique?lang=fr
RAVS,Revue Audiovisuelle de la Valorisation des Savoirs Scientifiques,,RAVS,Gestion; Intérêt général,https://shs.cairn.info/revue-audiovisuelle-de-la-valorisation-des-savoirs-scientifiques?lang=fr
RBP,Revue Belge de Psychanalyse,,Association pour les Publications et la Recherche en Psychanalyse,Psychologie,https://shs.cairn.info/revue-belge-de-psychanalyse?lang=fr
CONFL,Revue CONFLUENCE : Sciences & Humanités,,Unité de Recherche CONFLUENCE : Sciences et Humanités,Philosophie,https://shs.cairn.info/revue-confluence?lang=fr
RCG,Revue Congolaise de Gestion,,Éditions ICES,Gestion,https://shs.cairn.info/revue-congolaise-de-gestion?lang=fr
RAC,Revue d'anthropologie des connaissances,,S.A.C.,"Anthropologie; Info, Communication",https://shs.cairn.info/revue-anthropologie-des-connaissances?lang=fr
RACO,Revue d'archéologie contemporaine,,Association Française de Recherche en Archéologie,Histoire,https://shs.cairn.info/revue-revue-d-archeologie-contemporaine?lang=fr
ASSY,Revue d'assyriologie et d'archéologie orientale,,Presses Universitaires de France,Histoire,https://shs.cairn.info/revue-d-assyriologie?lang=fr
JEHRHE,Revue d'Histoire de l'Énergie,,Comité d'histoire de l'électricité et de l'énergie,Histoire,https://stm.cairn.info/revue-d-histoire-de-l-energie?lang=fr
RHPS,Revue d'histoire de la protection sociale,,Comité d'histoire de la sécurité sociale,Histoire; Santé publique,https://shs.cairn.info/revue-d-histoire-de-la-protection-sociale?lang=fr
RHSHO,Revue d'Histoire de la Shoah,,Mémorial de la Shoah,Histoire,https://shs.cairn.info/revue-d-histoire-de-la-shoah?lang=fr
RHS,Revue d'histoire des sciences,,Armand Colin,Histoire,https://shs.cairn.info/revue-d-histoire-des-sciences?lang=fr
