Code CAIRN,Titre,Sous-titre,Editeur,Disciplines,URL
RPSF,Revue des politiques sociales et familiales,,Caisse nationale d'allocations familiales,Science politique; Sociologie; Travail social,https://shs.cairn.info/revue-des-politiques-sociales-et-familiales?lang=fr
RSPT,Revue des sciences philosophiques et théologiques,,Vrin,Philosophie; Religions et spiritualité,https://shs.cairn.info/revue-des-sciences-philosophiques-et-theologiques?lang=fr
RDL,Revue Droit & Littérature,Du Droit à la Littérature,Lextenso,Littérature,https://droit.cairn.info/revue-droit-et-litterature?lang=fr
CRIEU,Revue du Crieur,,La Découverte,Intérêt général,https://shs.cairn.info/revue-du-crieur?lang=fr
RDM1,Revue du MAUSS,,Éditions Le Bord de l'eau,Sociologie,https://shs.cairn.info/revue-du-mauss1?lang=fr
RDN1,Revue du Nord,,Université de Lille,Histoire,https://shs.cairn.info/revue-du-nord-1?lang=fr
RDNA,Revue Défense Nationale,,Comité d'études de Défense Nationale,Science politique,https://shs.cairn.info/revue-defense-nationale?lang=fr
REMI,Revue européenne des migrations internationales,,Université de Poitiers,Géographie; Science politique; Sociologie,https://shs.cairn.info/revue-europeenne-des-migrations-internationales?lang=fr
RESS,Revue européenne des sciences sociales,European Journal of Social Sciences,Librairie Droz,Sociologie,https://shs.cairn.info/revue-europeenne-des-sciences-sociales?lang=fr
RFAP,Revue française d'administration publique,,Institut national du service public,Science politique,https://droit.cairn.info/revue-francaise-d-administration-publique?lang=fr
RFHIP1,Revue Française d'Histoire des Idées Politiques,,L'Harmattan,Histoire; Science politique,https://shs.cairn.info/revue-francaise-d-histoire-des-idees-politiques?lang=fr
RFHE,Revue française d'histoire économique,,L'Harmattan,Économie; Histoire,https://shs.cairn.info/revue-francaise-d-histoire-economique?lang=fr
RFE,Revue française d'économie,,Revue française d'économie,Économie,https://shs.cairn.info/revue-francaise-d-economie?lang=fr
RFEAP,Revue française d'éthique appliquée,,érès,Philosophie,https://shs.cairn.info/revue-francaise-d-ethique-appliquee?lang=fr
RFEA,Revue française d'études américaines,,Belin,Histoire; Littérature,https://shs.cairn.info/revue-francaise-d-etudes-americaines?lang=fr
RFFP,Revue française de finances publiques,,Lextenso,Science politique,https://droit.cairn.info/revue-revue-francaise-de-finances-publiques?lang=fr
RFG,Revue française de gestion,,JLE,Gestion,https://shs.cairn.info/revue-francaise-de-gestion?lang=fr
RFLA,Revue française de linguistique appliquée,,Publications linguistiques,Linguistique; Littérature,https://shs.cairn.info/revue-francaise-de-linguistique-appliquee?lang=fr
RFP,Revue française de psychanalyse,,Presses Universitaires de France,Psychologie,https://shs.cairn.info/revue-francaise-de-psychanalyse?lang=fr
RFPS,Revue française de psychosomatique,,Presses Universitaires de France,Psychologie,https://shs.cairn.info/revue-francaise-de-psychosomatique?lang=fr
RFPED,Revue française de pédagogie,Recherches en éducation,ENS Éditions,Sciences de l'éducation,https://shs.cairn.info/revue-francaise-de-pedagogie?lang=fr
RFSP,Revue française de science politique,,Presses de Sciences Po,Science politique,https://shs.cairn.info/revue-francaise-de-science-politique?lang=fr
RFSE,Revue Française de Socio-Économie,,La Découverte,Économie; Science politique; Sociologie,https://shs.cairn.info/revue-francaise-de-socio-economie?lang=fr
RFS,Revue française de sociologie,,Presses de Sciences Po,Sociologie,https://shs.cairn.info/revue-francaise-de-sociologie?lang=fr
RFAS,Revue française des affaires sociales,,DREES Ministère de la santé,Santé publique; Sociologie; Travail social,https://shs.cairn.info/revue-francaise-des-affaires-sociales?lang=fr
RHIS,Revue historique,,Presses Universitaires de France,Histoire,https://shs.cairn.info/revue-historique?lang=fr
RHA,Revue Historique des Armées,,Service Historique de la Défense,Histoire,https://shs.cairn.info/revue-historique-des-armees?lang=fr
RIIE1,Revue internationale d'intelligence économique,,VA Éditions,Économie; Gestion; Science politique,https://shs.cairn.info/revue-internationale-d-intelligence-economique?lang=fr
RIDP,Revue internationale de droit pénal,,érès,Science politique,https://droit.cairn.info/revue-internationale-de-droit-penal?lang=fr
RIDE,Revue internationale de droit économique,,Association internationale de droit économique,Économie; Gestion,https://droit.cairn.info/revue-internationale-de-droit-economique?lang=fr
RIEF,Revue internationale de l'éducation familiale,,Centre de Recherches Éducation et Formation,Sciences de l'éducation,https://shs.cairn.info/revue-la-revue-internationale-de-l-education-familiale?lang=fr
RIP,Revue internationale de philosophie,,De Boeck Supérieur,Philosophie,https://shs.cairn.info/revue-internationale-de-philosophie?lang=fr
RIPC,Revue internationale de politique comparée,,De Boeck Supérieur,Science politique,https://shs.cairn.info/revue-internationale-de-politique-comparee?lang=fr
RIPSO,Revue internationale de psychologie sociale,,Presses universitaires de Grenoble,Psychologie,https://shs.cairn.info/revue-internationale-de-psychologie-sociale?lang=fr
RIPS1,Revue internationale de psychosociologie et de gestion des comportements organisationnels,,ESKA,Gestion; Psychologie,https://shs.cairn.info/revue-internationale-de-psychosociologie-de-gestion-des-comportements-organisationnels?lang=fr
INKA,Revue internationale de soins palliatifs,,Médecine & Hygiène,Santé publique,https://stm.cairn.info/revue-internationale-de-soins-palliatifs?lang=fr
RISA,Revue Internationale des Sciences Administratives,Revue d'Administration Publique,IISA,Gestion; Science politique,https://droit.cairn.info/revue-internationale-des-sciences-administratives?lang=fr
RISO,Revue internationale des sciences de l'organisation,,Management Prospective Éditions,Gestion,https://shs.cairn.info/revue-internationale-des-sciences-de-l-organisation?lang=fr
RISS,Revue internationale des sciences sociales,,érès,Sociologie,https://shs.cairn.info/revue-internationale-des-sciences-sociales?lang=fr
RIED,Revue internationale des études du développement,,Éditions de la Sorbonne,Économie; Géographie; Science politique,https://shs.cairn.info/revue-internationale-des-etudes-du-developpement?lang=fr
RIS,Revue internationale et stratégique,,IRIS éditions,Science politique,https://shs.cairn.info/revue-internationale-et-strategique?lang=fr
RJE,Revue juridique de l'environnement,,JLE,Géographie; Science politique,https://droit.cairn.info/revue-juridique-de-l-environnement?lang=fr
RJPA,Revue juridique et politique en Afrique,,"Centre d'études, de recherche et de publications",Science politique,https://droit.cairn.info/revue-revue-juridique-et-politique-en-afrique?lang=fr
RMI,Revue Management & Innovation,,Éditions EMI,Gestion,https://shs.cairn.info/revue-management-et-innovation?lang=fr
RPHI,Revue philosophique de la France et de l'étranger,,Presses Universitaires de France,Philosophie,https://shs.cairn.info/revue-philosophique?lang=fr
PRO,Revue Projet,Comprendre pour agir,C.E.R.A.S,Intérêt général; Sociologie,https://shs.cairn.info/revue-projet?lang=fr
RQPA,Revue Quadrilingue en Psychologie Analytique,,@RQPA,Psychologie,https://shs.cairn.info/revue-quadrilingue-en-psychologie-analytique?lang=fr
RQM,Revue Quart Monde,,ATD Quart Monde,Science politique; Sociologie; Travail social,https://shs.cairn.info/revue-quart-monde?lang=fr
SENS,Revue Sens,,Amitié Judéo-Chrétienne de France,Religions et spiritualité,https://shs.cairn.info/revue-sens?lang=fr
RTDH,Revue trimestrielle des droits de l'Homme,,Anthemis,Science politique,https://droit.cairn.info/revue-trimestrielle-des-droits-de-l-homme?lang=fr
RECO,Revue économique,,Presses de Sciences Po,Économie,https://shs.cairn.info/revue-economique?lang=fr
REVO,Revue économique de l'OCDE,,Éditions de l'OCDE,Économie,https://shs.cairn.info/revue-economique-de-l-ocde?lang=fr
RHIZ,Rhizome,,Presses de Rhizome,Psychologie,https://shs.cairn.info/revue-rhizome?lang=fr
RIMHE,"RIMHE : Revue Interdisciplinaire Management, Homme & Entreprise",Management & Human Entreprise,Association RIMHE,Gestion,https://shs.cairn.info/revue-rimhe?lang=fr
RQMS,Risques & qualité en milieu de soins,,Health & Co,Santé publique,https://stm.cairn.info/revue-risques-et-qualite-en-milieu-de-soins?lang=fr
R2050,Roman 20-50,Revue d'étude du roman des XXe et XXIe siècles,Société Roman 20-50,Littérature,https://shs.cairn.info/revue-roman2050?lang=fr
ROM,Romantisme,Revue du dix-neuvième siècle,Armand Colin,Littérature,https://shs.cairn.info/revue-romantisme?lang=fr
RDES,Rue Descartes,,Collège international de Philosophie,Philosophie,https://shs.cairn.info/revue-rue-descartes?lang=fr
RHREN,"Réforme, Humanisme, Renaissance",,"Association d'études sur la Renaissance, l'Humanisme et la Réforme",Histoire; Littérature,https://shs.cairn.info/revue-reforme-humanisme-renaissance?lang=fr
REF,Réformes économiques,,Éditions de l'OCDE,Économie,https://shs.cairn.info/revue-reformes-economiques?lang=fr
RES,Réseaux,Communication . Technologie . Société,La Découverte,"Info, Communication; Science politique; Sociologie",https://shs.cairn.info/revue-reseaux?lang=fr
SALA,Salariat,Revue de sciences sociales,Éditions du Croquant,Économie; Sociologie,https://shs.cairn.info/revue-salariat?lang=fr
SMQ,Santé mentale au Québec,,Santé mentale au Québec,Psychologie,https://stm.cairn.info/revue-sante-mentale-au-quebec?lang=fr
SPUB,Santé Publique,,S.F.S.P.,Santé publique,https://stm.cairn.info/revue-sante-publique?lang=fr
SAVA,Savoir/Agir,,Éditions du Croquant,Science politique; Sociologie; Travail social,https://shs.cairn.info/revue-savoir-agir?lang=fr
SAVO,Savoirs,Revue internationale de recherches en éducation et formation des adultes,L'Harmattan,Sciences de l'éducation,https://shs.cairn.info/revue-savoirs?lang=fr
SC,Savoirs et clinique,Revue de psychanalyse,érès,Psychologie,https://shs.cairn.info/revue-savoirs-et-cliniques?lang=fr
SAY,SAY,Intelligences économiques,Hermann,Économie; Intérêt général; Science politique,https://shs.cairn.info/revue-say?lang=fr
SAS,Sciences & Actions Sociales,,Association des Chercheurs des Organismes de la Formation et de la Recherche en Travail Social,Travail social,https://shs.cairn.info/revue-sciences-et-actions-sociales?lang=fr
SDD,Sciences du Design,,Presses Universitaires de France,"Arts; Info, Communication",https://shs.cairn.info/revue-sciences-du-design?lang=fr
SET,Sciences Eaux & Territoires,,"Institut national de recherche pour l'agriculture, l'alimentation et l'environnement",Géographie,https://stm.cairn.info/revue-sciences-eaux-et-territoires?lang=fr
SSS,Sciences sociales et santé,,JLE,Santé publique; Sociologie,https://stm.cairn.info/revue-sciences-sociales-et-sante?lang=fr
RSSS,Sciences sociales et sport,,L'Harmattan,Sport et société,https://shs.cairn.info/revue-sciences-sociales-et-sport?lang=fr
SDES,Sens-Dessous,,Éditions de l'Association Paroles,Philosophie,https://shs.cairn.info/revue-sens-dessous?lang=fr
SENSI,Sensibilités,"Histoire, critique & sciences sociales",Anamosa,Anthropologie; Histoire,https://shs.cairn.info/revue-sensibilites?lang=fr
SERVIR,Servir,,Association SERVIR - Alumni de l'ENA et de l'INSP,Science politique,https://droit.cairn.info/revue-servir?lang=fr
SESAM,Sesame,"Sciences et Société, Alimentation, Mondes agricoles et Environnement",INRAE,Géographie; Sociologie,https://stm.cairn.info/revue-sesame?lang=fr
SEXOL,Sexologies,,JLE,Psychologie; Santé publique,https://stm.cairn.info/revue-sexologies?lang=fr
SIGILA,Sigila,Revue transdisciplinaire franco-portugaise sur le secret,Gris-France,Littérature,https://shs.cairn.info/revue-sigila?lang=fr
SIMO,Sites et Monuments,,Sites & Monuments,Arts; Histoire,https://shs.cairn.info/revue-sites-et-monuments?lang=fr
GRAPH1,Sociographe,,Éditions Sociographe,Sociologie; Travail social,https://shs.cairn.info/revue-sociographe?lang=fr
SOCIO,Sociologie,,Presses Universitaires de France,Sociologie,https://shs.cairn.info/revue-sociologie?lang=fr
SOART,Sociologie de l'Art,,L'Harmattan,Arts; Sociologie,https://shs.cairn.info/revue-sociologie-de-l-art?lang=fr
SOPR1,Sociologies pratiques,,Association pour le developpement de la revue Sociologies pratiques,Gestion; Sociologie,https://shs.cairn.info/revue-sociologies-pratiques-1?lang=fr
SDR,"Société, droit et religion",,CNRS Éditions,Religions et spiritualité; Science politique,https://droit.cairn.info/revue-societe-droit-et-religion?lang=fr
SOC,Sociétés,Revue des sciences humaines et sociales,De Boeck Supérieur,Sociologie,https://shs.cairn.info/revue-societes?lang=fr
SR,Sociétés & Représentations,,Éditions de la Sorbonne,"Arts; Histoire; Info, Communication",https://shs.cairn.info/revue-societes-et-representations?lang=fr
SOCO,Sociétés contemporaines,,Presses de Sciences Po,Sociologie,https://shs.cairn.info/revue-societes-contemporaines?lang=fr
SPI,Spirale,La grande aventure de bébé,érès,Psychologie; Sciences de l'éducation,https://shs.cairn.info/revue-spirale?lang=fr
SPIR,Spirale,Revue de recherches en éducation,Association pour la Recherche en Éducation,Sciences de l'éducation,https://shs.cairn.info/revue-spirale-revue-de-recherches-en-education?lang=fr
SPEC,Spécificités,La revue des terrains sensibles,Champ social,Sciences de l'éducation; Travail social,https://shs.cairn.info/revue-specificites?lang=fr
STA,Staps,Revue internationale des sciences du sport et de l'éducation physique,De Boeck Supérieur,Sport et société,https://shs.cairn.info/revue-staps?lang=fr
STRAT,Stratégique,,Institut de Stratégie Comparée,Science politique,https://shs.cairn.info/revue-strategique?lang=fr
STUD,Studia Bruxellae,,Musées et Archives de la Ville de Bruxelles,Arts; Histoire,https://shs.cairn.info/revue-studia-bruxellae?lang=fr
SN,Sud/Nord,Folies et cultures,érès,Psychologie,https://shs.cairn.info/revue-sud-nord?lang=fr
SUDS,Suds,,Presses universitaires de Bordeaux,Géographie,https://shs.cairn.info/revue-suds?lang=fr
SS,Syntaxe & Sémantique,,Presses universitaires de Caen,Linguistique; Littérature,https://shs.cairn.info/revue-syntaxe-et-semantique?lang=fr
SIM,Systèmes d'information & management,,ESKA,"Gestion; Info, Communication",https://stm.cairn.info/revue-systemes-d-information-et-management?lang=fr
SESTR,Sécurité et stratégie,,Cercle des Directions de la Sécurité des Entreprises,Économie; Gestion; Science politique,https://shs.cairn.info/revue-securite-et-strategie?lang=fr
SECUG,Sécurité globale,,ESKA,Science politique,https://shs.cairn.info/revue-securite-globale?lang=fr
TC1,Techniques & Culture,,Éditions de l'EHESS,Anthropologie,https://shs.cairn.info/revue-techniques-et-culture?lang=fr
TFD,Techniques Financières et Développement,,Épargne sans frontière,Économie,https://shs.cairn.info/revue-techniques-financieres-et-developpement?lang=fr
TT,Terrains & travaux,,ENS Paris-Saclay,Anthropologie; Sociologie,https://shs.cairn.info/revue-terrains-et-travaux?lang=fr
IREN,The Irenaut,"Exploring the human genius for peace, charting the violence that stalks it",The Irenaut,Philosophie,https://shs.cairn.info/revue-the-irenaut?lang=fr
TF,Thérapie Familiale,Revue Internationale en Approche Systémique,Médecine & Hygiène,Psychologie,https://shs.cairn.info/revue-therapie-familiale?lang=fr
TPR,Thérapie Psychomotrice et Recherches,,Syndicat National d'Union des Psychomotriciens,Psychologie; Santé publique,https://shs.cairn.info/revue-therapie-psychomotrice-et-recherches?lang=fr
THEPU,Théâtre/Public,,Théâtre public,Arts; Littérature,https://shs.cairn.info/theatre-public?lang=fr
TIERS,Tiers,La revue de la médiation familiale,Association Pour la Médiation Familiale,Psychologie; Travail social,https://shs.cairn.info/revue-tiers?lang=fr
TOP,Topique,La psychanalyse aujourd'hui,Association Internationale Interactions,Psychologie,https://shs.cairn.info/revue-topique?lang=fr
TU,Tous urbains,,Presses Universitaires de France,Géographie; Intérêt général; Sociologie,https://shs.cairn.info/revue-tous-urbains?lang=fr
TURB,Transports urbains,"Mobilités, réseaux, territoires",Groupement pour l'Étude des Transports Urbains,Géographie,https://stm.cairn.info/revue-transports-urbains?lang=fr
TRANS,Transversalités,Revue de l'Institut Catholique de Paris,Institut Catholique de Paris,Philosophie; Religions et spiritualité,https://shs.cairn.info/revue-transversalites?lang=fr
TA,Travail et Apprentissages,,Éditions Raison et Passions,Sciences de l'éducation,https://shs.cairn.info/revue-travail-et-apprentissages?lang=fr
TE,Travail et emploi,,DARES,Économie; Sociologie,https://shs.cairn.info/revue-travail-et-emploi?lang=fr
TGS,"Travail, genre et sociétés",,La Découverte,Sociologie,https://shs.cairn.info/revue-travail-genre-et-societes?lang=fr
TRAV,Travailler,Revue internationale de Psychopathologie et de Psychodynamique du Travail,Martin Média,Psychologie,https://shs.cairn.info/revue-travailler?lang=fr
TL,Travaux de linguistique,Revue internationale de linguistique française,De Boeck Supérieur,Linguistique,https://shs.cairn.info/revue-travaux-de-linguistique?lang=fr
REPSY,Tribune psychanalytique,,Tribune psychanalytique,Psychologie,https://shs.cairn.info/tribune-psychanalytique?lang=fr
TUMU,Tumultes,,Éditions Kimé,Anthropologie; Histoire; Littérature; Philosophie; Science politique; Sociologie,https://shs.cairn.info/revue-tumultes?lang=fr
TEQU,Tèque,,Audimat Éditions,"Info, Communication",https://shs.cairn.info/revue-teque?lang=fr
TELEV,Télévision,,CNRS Éditions,"Info, Communication; Sociologie",https://shs.cairn.info/revue-television?lang=fr
VACA,Vacarme,,Association Vacarme,Intérêt général; Science politique; Sociologie,https://shs.cairn.info/revue-vacarme?lang=fr
VER,Vertigo,Revue de cinéma,Éditions Lignes,Arts,https://shs.cairn.info/revue-vertigo?lang=fr
VSE,Vie & sciences de l'entreprise,,ANDESE,Gestion,https://shs.cairn.info/revue-vie-et-sciences-de-l-entreprise?lang=fr
VSOC,Vie sociale,Cedias-Musée social,érès,Science politique; Travail social,https://shs.cairn.info/revue-vie-sociale?lang=fr
VOLU,Volume !,Recherches sur les musiques populaires,Presses universitaires de Bordeaux,"Arts; Info, Communication; Sociologie",https://shs.cairn.info/revue-volume?lang=fr
VDUR,Vraiment durable,revue interdisciplinaire du développement durable,Victoires Éditions,Économie; Science politique,https://shs.cairn.info/revue-vraiment-durable?lang=fr
VST,VST,Vie sociale et traitements - Revue des CEMEA,érès,Psychologie; Travail social,https://shs.cairn.info/revue-vie-sociale-et-traitements?lang=fr
RZ,Z : Revue itinérante d'enquête et de critique sociale,,Éditions de la dernière lettre,Intérêt général; Sociologie,https://shs.cairn.info/revue-z?lang=fr
ZIL,Zilsel,"Science, technique, société",Éditions du Croquant,Sociologie,https://shs.cairn.info/revue-zilsel?lang=fr
ECOPO1,Écologie & Politique,,Éditions Le Bord de l'eau,Géographie; Science politique; Sociologie,https://shs.cairn.info/revue-ecologie-et-politique?lang=fr
ECOP1,Économie & prévision,,Direction générale du Trésor,Économie,https://shs.cairn.info/revue-economie-et-prevision?lang=fr
ECOI,Économie internationale,La revue du CEPII,La Documentation française,Économie,https://shs.cairn.info/revue-economie-internationale?lang=fr
ECRU,Économie rurale,,Société française d'économie rurale,Économie,https://shs.cairn.info/revue-economie-rurale?lang=fr
ESRA,Écrire le social,La revue de l'AIFRIS,AIFRIS,Travail social,https://shs.cairn.info/revue-ecrire-le-social-la-revue-de-l-aifris?lang=fr
EDDI,Éducation & didactique,,Presses universitaires de Rennes,Sciences de l'éducation,https://shs.cairn.info/revue-education-et-didactique?lang=fr
EDFO,Éducation & formations,,DEPP – MENJ / SIES – MESR,Sciences de l'éducation,https://shs.cairn.info/revue-education-et-formations?lang=fr
ES,Éducation et Sociétés,Revue internationale de sociologie de l'éducation,De Boeck Supérieur,Sciences de l'éducation; Sociologie,https://shs.cairn.info/revue-education-et-societes?lang=fr
EDPE,Éducation Permanente,,Éducation Permanente,Gestion; Sciences de l'éducation,https://shs.cairn.info/revue-education-permanente?lang=fr
ETP,Éducation thérapeutique du patient / Therapeutic patient education,,EDP Sciences,Santé publique,https://stm.cairn.info/revue-education-therapeutique-du-patient?lang=fr
ELA,Éla. Études de linguistique appliquée,Revue de didactologie des langues-cultures,Klincksieck,Linguistique,https://shs.cairn.info/revue-ela?lang=fr
ELMA,Élucidations managériales,,École de Paris du management,Gestion,https://shs.cairn.info/revue-elucidations-manageriales?lang=fr
ETU,Études,Revue de culture contemporaine,S.E.R.,Intérêt général,https://shs.cairn.info/revue-etudes?lang=fr
ETAN,Études anglaises,,Klincksieck,Littérature,https://shs.cairn.info/revue-etudes-anglaises?lang=fr
BALKA,Études Balkaniques,Cahiers Pierre Belon,Association Pierre Belon,Histoire,https://shs.cairn.info/revue-etudes-balkaniques-cahiers-pierre-belon?lang=fr
EDC,Études de communication,,Université de Lille,"Info, Communication",https://shs.cairn.info/revue-etudes-de-communication?lang=fr
DURK,Études Durkheimiennes,,Berghahn Books,Sociologie,https://shs.cairn.info/revue-etudes-durkheimiennes?lang=fr
EDB,Études et Documents Berbères,,La Boite à Documents,Linguistique; Littérature,https://shs.cairn.info/revue-etudes-et-documents-berberes?lang=fr
EFRC,Études françaises de renseignement et de cyber,,Presses Universitaires de France,Science politique,https://shs.cairn.info/revue-etudes-francaises-de-renseignement-et-de-cyber?lang=fr
EGER,Études Germaniques,,Klincksieck,Littérature,https://shs.cairn.info/revue-etudes-germaniques?lang=fr
ETRU,Études rurales,,Éditions de l'EHESS,Géographie; Sociologie,https://shs.cairn.info/revue-etudes-rurales?lang=fr
ESLM,Études sur la mort,Thanatologie,Centre International des Etudes sur la Mort,Psychologie,https://shs.cairn.info/revue-etudes-sur-la-mort?lang=fr
ETR,Études théologiques et religieuses,,Institut protestant de théologie,Religions et spiritualité,https://shs.cairn.info/revue-etudes-theologiques-et-religieuses?lang=fr
ETTH,Études théâtrales,,L'Harmattan,Arts; Littérature,https://shs.cairn.info/revue-etudes-theatrales?lang=fr
TSIG,Études Tsiganes,,FNASAT,Anthropologie; Sociologie,https://shs.cairn.info/revue-etudes-tsiganes?lang=fr
EE,Études économiques de l'OCDE,,Éditions de l'OCDE,Économie,https://shs.cairn.info/revue-etudes-economiques-de-l-ocde?lang=fr
